full.filename.txt,ObjectID,Name,COUNTRY,YEAR,EVENTTYPE,INTERNALEVENTNUM,SOURCE,TRANSLATOR,PUBLISHER,PUBLISHER_LOCATION,COPYRIGHT,no.text,not.in.chronology,duplicated,language,not.available.in.english,filename,size
Canada_1946EnglishPrivate_9607.txt,9607,1946 Amendment to Canada's Constitution of 1867,Canada,1946,amendment,3493,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1946EnglishPrivate_9607.txt,5321
Canada_1949EnglishPrivate_9608.txt,9608,1949 Amendment to Canada's Constitution of 1867,Canada,1949,amendment,3494,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1949EnglishPrivate_9608.txt,68262
Canada_1951EnglishPrivate_9609.txt,9609,1951 Amendment to Canada's Constitution of 1867,Canada,1951,amendment,3495,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1951EnglishPrivate_9609.txt,1720
Canada_1952EnglishPrivate_9610.txt,9610,1952 Amendment to Canada's Constitution of 1867,Canada,1952,amendment,3496,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1952EnglishPrivate_9610.txt,5403
Canada_1960EnglishPrivate_171.txt,171,1960 Amendment to Canada's Constitution of 1867,Canada,1960,amendment,1338,Constitutions of the Countries of the World,"Patino Guerra, Ithzel A.","Oceana Publications, Inc.",Dobbs Ferry,1974,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1960EnglishPrivate_171.txt,7636
Canada_1964EnglishPrivate_172.txt,172,1964 Amendment to Canada's Constitution of 1867,Canada,1964,amendment,2087,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1964EnglishPrivate_172.txt,1658
Canada_1965EnglishPrivate_173.txt,173,Canada's Constitution of 1867 with Amendments through 1965,Canada,1965,amendment,1339,Constitutions of Nations,"Department of Legal Affairs, Pan American Union",Martinus Nijhoff,The Hague,1970,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1965EnglishPrivate_173.txt,83841
Canada_1974EnglishPrivate_174.txt,174,1974 Amendment to Canada's Constitution of 1867,Canada,1974,amendment,2088,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1974EnglishPrivate_174.txt,9074
Canada_1975EnglishPrivate_175.txt,175,1975 Amendment to Canada's Constitution of 1867,Canada,1975,amendment,1341,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1975EnglishPrivate_175.txt,2826
Canada_1982EnglishPrivate_176.txt,176,Canada's Constitution of 1867 with Amendments through 1982,Canada,1982,amendment,186,Constitutions of the Countries of the World,"Patino Guerra, Ithzel A.","Oceana Publications, Inc.",Dobbs Ferry,1991,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1982EnglishPrivate_176.txt,136409
Canada_1983EnglishPrivate_177.txt,177,1983 Amendment to Canada's Constitution of 1867,Canada,1983,amendment,1343,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1983EnglishPrivate_177.txt,6351
Canada_1986EnglishPrivate_9611.txt,9611,1986 Amendment to Canada's Constitution of 1867,Canada,1986,amendment,3497,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1986EnglishPrivate_9611.txt,32836
